hotel_class,region_id,url,phone,details,address,type,id,name,region,street-address,postal-code,locality,full_address,latitude,longitude
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94173-Reviews-Airport_Parkway_Inn-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '2400 Wilkinson Blvd', 'postal-code': '28208', 'locality': 'Charlotte'}",hotel,94173,Airport Parkway Inn,NC,2400 Wilkinson Blvd,28208,Charlotte,"2400 Wilkinson Blvd, Charlotte, NC, 28208, USA",35.223873,-80.879501
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94184-Reviews-Motel_6_Charlotte_Coliseum-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '131 Red Roof Drive', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,94184,Motel 6 Charlotte Coliseum,NC,131 Red Roof Drive,28217,Charlotte,"131 Red Roof Drive, Charlotte, NC, 28217, USA",35.1453481,-80.8977758
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d3452538-Reviews-Rodeway_Inn-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3430 Saint Vardell Lane', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,3452538,Rodeway Inn,NC,3430 Saint Vardell Lane,28217,Charlotte,"3430 Saint Vardell Lane, Charlotte, NC, 28217, USA",35.1981661,-80.8802425
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94187-Reviews-Americas_Best_Value_Inn_Suites_Charlotte-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '5115 Reagan Drive', 'postal-code': '28206', 'locality': 'Charlotte'}",hotel,94187,Americas Best Value Inn & Suites-Charlotte,NC,5115 Reagan Drive,28206,Charlotte,"5115 Reagan Drive, Charlotte, NC, 28206, USA",35.2773245,-80.794825
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d225334-Reviews-Studio_6_Charlotte_Airport-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3420 Queen City Drive', 'postal-code': '28208', 'locality': 'Charlotte'}",hotel,225334,Studio 6 Charlotte Airport,NC,3420 Queen City Drive,28208,Charlotte,"3420 Queen City Drive, Charlotte, NC, 28208, USA",35.240411,-80.9216845
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94186-Reviews-Red_Roof_Inn_Charlotte_Airport_West-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3300 Queen City Drive', 'postal-code': '28208', 'locality': 'Charlotte'}",hotel,94186,Red Roof Inn Charlotte Airport West,NC,3300 Queen City Drive,28208,Charlotte,"3300 Queen City Drive, Charlotte, NC, 28208, USA",35.240532,-80.919664
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d94168-Reviews-Motel_6_Charlotte_South-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3430 Saint Vardell Lane', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,94168,Motel 6 Charlotte - South,NC,3430 Saint Vardell Lane,28217,Charlotte,"3430 Saint Vardell Lane, Charlotte, NC, 28217, USA",35.1981661,-80.8802425
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d121861-Reviews-Rodeway_Inn_Charlotte_Downtown-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '3601 Brookshire Boulevard', 'postal-code': '28216', 'locality': 'Charlotte'}",hotel,121861,Rodeway Inn Charlotte \ Downtown,NC,3601 Brookshire Boulevard,28216,Charlotte,"3601 Brookshire Boulevard, Charlotte, NC, 28216, USA",35.261161,-80.8777201
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d225337-Reviews-InTown_Suites_Charlotte_Central-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '540 Pressley Road', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,225337,InTown Suites Charlotte Central,NC,540 Pressley Road,28217,Charlotte,"540 Pressley Road, Charlotte, NC, 28217, USA",35.1859875,-80.8892419
1.5,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d240570-Reviews-Super_8_Charlotte_Sunset_Road-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '4930 Sunset Road', 'postal-code': '28269', 'locality': 'Charlotte'}",hotel,240570,Super 8 Charlotte Sunset Road,NC,4930 Sunset Road,28269,Charlotte,"4930 Sunset Road, Charlotte, NC, 28269, USA",35.3076437,-80.8454097
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d1905160-Reviews-Arlington_Suites-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '4416 South Tryon Street', 'postal-code': '28217', 'locality': 'Charlotte'}",hotel,1905160,Arlington Suites,NC,4416 South Tryon Street,28217,Charlotte,"4416 South Tryon Street, Charlotte, NC, 28217, USA",35.185058,-80.8858037
,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d121870-Reviews-VanLandingham_Estate-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '2010 The Plaza', 'postal-code': '28205-3032', 'locality': 'Charlotte'}",hotel,121870,VanLandingham Estate,NC,2010 The Plaza,28205-3032,Charlotte,"2010 The Plaza, Charlotte, NC, 28205-3032, USA",35.229443,-80.8077311
2.0,49022,http://www.tripadvisor.com/Hotel_Review-g49022-d656554-Reviews-Charlotte_Express_Inn-Charlotte_North_Carolina.html,,,"{'region': 'NC', 'street-address': '1240 Lucky Penny Street', 'postal-code': '28208', 'locality': 'Charlotte'}",hotel,656554,Charlotte Express Inn,NC,1240 Lucky Penny Street,28208,Charlotte,"1240 Lucky Penny Street, Charlotte, NC, 28208, USA",35.2505043,-80.8962615
